c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, c20, c21, c22, c23, c24, c25, c26, c27, c28, c29, c30, c31, c32, c33, c34, c35, c36, c37, c38, c39, c40, c41, c42, c43, c44, c45, c46, c47, c48, c49, c50, c51, c52, c53, c54, c55, c56, c57, c58, c59, c60, c61
20,23,15,10,12,16,7,32,26,32,3,52,47,25,32,50,3,12,19,7,15,2,40,84,72,1,162,160,181,169,34,14,39,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,24,16,11,13,17,8,33,27,33,4,53,48,26,33,51,4,13,20,8,16,3,41,85,73,2,163,161,182,170,35,15,40,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,2,24,22,10,26,8,22,42,51,29,1,54,68,64,42,34,9,64,24,13,23,17,29,14,34,60,187,3,95,30,19,39,73,81,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,3,25,23,11,27,9,23,43,52,30,2,55,69,65,43,35,10,65,25,14,24,18,30,15,35,61,188,4,96,31,20,40,74,82,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,11,6,10,20,32,32,26,25,2,11,35,18,59,12,59,73,84,35,27,91,48,73,88,99,72,18,23,104,125,64,50,85,35,52,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,12,7,11,21,33,33,27,26,3,12,36,19,60,13,60,74,85,36,28,92,49,74,89,100,73,19,24,105,126,65,51,86,36,56,2,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,15,20,9,5,12,31,20,2,26,46,47,20,66,18,71,14,24,11,36,9,1,98,82,1,124,108,120,151,114,147,117,120,146,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,16,21,10,6,13,32,21,3,27,47,48,21,67,19,72,15,25,12,37,10,2,99,83,2,125,109,121,152,115,148,118,121,147,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,25,11,2,26,13,5,24,16,24,2,58,40,38,61,49,56,1,73,61,17,67,65,1,1,1,78,40,36,49,48,1,61,202,50,59,59,147,167,119,73,17,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,26,12,3,27,14,6,25,17,25,3,59,41,39,62,50,57,2,74,62,18,68,66,2,2,2,79,41,37,50,49,203,62,203,51,60,60,148,168,120,74,18,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,9,22,14,6,18,36,2,51,45,27,29,34,43,64,19,3,78,21,36,13,52,17,1,4,24,189,72,154,140,11,66,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,10,23,15,7,19,37,3,52,46,28,30,35,44,65,20,4,79,22,37,14,53,18,2,5,25,190,73,155,141,12,67,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,14,1,9,6,31,31,21,26,17,43,2,8,48,17,54,87,10,27,44,83,26,70,66,40,66,80,107,63,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,15,2,10,7,32,32,22,27,18,44,3,9,49,18,55,88,11,28,45,84,27,71,67,41,67,81,108,64,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1,24,18,22,20,4,22,16,25,27,37,45,2,8,11,65,46,49,83,72,80,43,138,87,121,44,79,170,119,45,76,64,111,44,52,70,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,2,25,19,23,21,5,23,17,26,28,38,46,3,9,12,66,47,50,84,73,81,44,139,88,122,45,80,171,120,46,77,65,112,45,53,71,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,11,4,13,17,29,30,30,11,26,32,18,10,54,39,36,70,2,10,82,2,3,51,62,6,43,105,144,99,185,182,101,58,49,15,19,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,12,5,14,18,30,31,31,12,27,33,19,11,55,40,37,71,3,11,83,3,4,52,63,7,44,106,145,100,186,183,102,59,50,16,20,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,21,11,15,7,4,28,26,1,16,6,34,49,4,12,42,67,27,52,41,45,85,100,15,34,81,69,140,151,42,48,28,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,22,12,16,8,5,29,27,2,17,7,35,50,5,13,43,68,28,53,42,46,86,101,16,35,82,70,141,152,43,49,29,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1,18,13,26,4,9,20,46,52,10,62,19,28,2,36,45,29,80,23,61,7,44,74,66,96,129,69,169,33,12,158,160,187,86,184,55,147,63,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,2,19,14,27,5,10,21,47,53,11,63,20,29,3,37,46,30,81,24,62,8,45,75,67,97,130,70,170,34,13,159,161,188,87,185,56,148,64,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,18,28,21,9,28,12,25,13,27,2,43,41,51,36,4,20,14,45,73,4,44,33,1,81,173,38,159,19,37,106,79,29,19,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,19,29,22,10,29,13,26,14,28,3,44,42,52,37,5,21,15,46,74,5,45,34,2,82,174,39,160,20,38,107,80,30,20,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,28,12,33,26,24,10,30,22,18,22,13,9,4,6,2,40,10,4,10,2,21,122,125,104,91,83,96,138,75,177,62,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
